#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2295 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:28.78 aq:12.99 tex:186163 mv:45422 misc:167 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.29 aq:20.11 tex:18939 mv:3970 misc:1523 imb:24 pmb:626 smb:2950 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.29 aq:17.88 tex:134 mv:1508 misc:814 imb:0 pmb:124 smb:3476 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.29 aq:14.00 tex:21 mv:680 misc:539 imb:0 pmb:58 smb:3542 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.29 aq:24.78 tex:153 mv:744 misc:567 imb:0 pmb:73 smb:3527 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:28.96 aq:20.20 tex:29780 mv:5032 misc:1412 imb:43 pmb:755 smb:2802 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:29.13 aq:22.25 tex:487 mv:1817 misc:920 imb:2 pmb:154 smb:3444 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:29.21 aq:26.44 tex:185 mv:714 misc:573 imb:0 pmb:71 smb:3529 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:29.04 aq:15.42 tex:60 mv:692 misc:568 imb:0 pmb:65 smb:3535 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:28.63 aq:20.06 tex:35699 mv:5112 misc:1525 imb:41 pmb:803 smb:2756 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:28.79 aq:20.69 tex:642 mv:1865 misc:965 imb:2 pmb:161 smb:3437 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:28.88 aq:19.70 tex:116 mv:789 misc:687 imb:0 pmb:84 smb:3516 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:28.71 aq:24.66 tex:244 mv:876 misc:664 imb:0 pmb:91 smb:3509 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:28.30 aq:19.87 tex:41048 mv:5697 misc:1263 imb:49 pmb:898 smb:2653 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:28.47 aq:19.10 tex:648 mv:2070 misc:1058 imb:2 pmb:194 smb:3404 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:28.55 aq:22.63 tex:115 mv:749 misc:624 imb:0 pmb:78 smb:3522 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:28.38 aq:21.36 tex:227 mv:900 misc:729 imb:0 pmb:97 smb:3503 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:27.97 aq:18.99 tex:46979 mv:5835 misc:1234 imb:61 pmb:938 smb:2601 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:28.14 aq:20.16 tex:890 mv:2113 misc:1069 imb:0 pmb:212 smb:3388 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:28.22 aq:18.31 tex:168 mv:1049 misc:791 imb:0 pmb:112 smb:3488 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:28.06 aq:23.37 tex:271 mv:1137 misc:800 imb:0 pmb:114 smb:3486 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:26.17 aq:17.23 tex:84302 mv:6249 misc:881 imb:48 pmb:1084 smb:2468 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:27.07 aq:21.30 tex:1277 mv:2294 misc:1133 imb:2 pmb:234 smb:3364 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:27.52 aq:21.61 tex:423 mv:1166 misc:883 imb:0 pmb:132 smb:3468 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:26.62 aq:21.66 tex:450 mv:1227 misc:923 imb:1 pmb:145 smb:3454 d:- ref:0 ;
